,Date,itx,Close,PositionCost,PositionType,AssetsFund,AssetsIncrease,IdleFund,TotalFund,TotalInterest
1206,2017-02-15,1207.0,11.078530311584473,10.92064094543457,1,1.1901767987422065,0.014457884563626167,0.0,1.1901767987422065,0.1901767987422065
1207,2017-02-16,1208.0,11.039058685302734,10.92064094543457,1,1.185936325277958,0.010843478918485019,0.0,1.185936325277958,0.185936325277958
1208,2017-02-17,1209.0,10.946955680847168,10.92064094543457,1,1.1760416139837315,0.002409632872656496,0.0,1.1760416139837315,0.17604161398373153
1209,2017-02-20,1210.0,11.124581336975098,10.92064094543457,1,1.195124103162261,0.018674763922696833,0.0,1.195124103162261,0.19512410316226103
1210,2017-02-21,1211.0,11.104844093322754,10.92064094543457,1,1.1930037127489608,0.016867430108595472,0.0,1.1930037127489608,0.19300371274896078
1211,2017-02-22,1212.0,11.01932144165039,10.92064094543457,1,1.1838159348646577,0.009036145104383659,0.0,1.1838159348646577,0.18381593486465775
1212,2017-02-23,1213.0,10.979849815368652,10.92064094543457,1,1.179575461400409,0.0054217394592425095,0.0,1.179575461400409,0.17957546140040903
1213,2017-02-24,1214.0,10.993005752563477,10.92064094543457,1,1.1809888159496689,0.006626424904039971,0.0,1.1809888159496689,0.18098881594966887
1214,2017-02-27,1215.0,10.9140625,10.92064094543457,1,1.1725078690211714,-0.0006023863862423263,0.0,1.1725078690211714,0.17250786902117143
1215,2017-02-28,1216.0,10.9140625,10.92064094543457,1,1.1725078690211714,-0.0006023863862423263,0.0,1.1725078690211714,0.17250786902117143
1216,2017-03-01,1217.0,10.894326210021973,10.92064094543457,1,1.1703875810619886,-0.002409632872656496,0.0,1.1703875810619886,0.1703875810619886
1217,2017-03-02,1218.0,10.795645713806152,10.795645713806152,-1,1.159786243720191,-0.0,0.0,1.159786243720191,0.1597862437201909
1218,2017-03-03,1219.0,10.756174087524414,10.795645713806152,-1,1.1640267171844396,0.0036562543203191153,0.0,1.1640267171844396,0.16402671718443962
1219,2017-03-06,1220.0,10.795645713806152,10.795645713806152,-1,1.159786243720191,-0.0,0.0,1.159786243720191,0.1597862437201909
1220,2017-03-07,1221.0,10.80880355834961,10.795645713806152,-1,1.1583726842626965,-0.0012188103326353096,0.0,1.1583726842626965,0.15837268426269646
1221,2017-03-08,1222.0,10.782487869262695,10.795645713806152,-1,1.1611998031776853,0.0012188103326353096,0.0,1.1611998031776853,0.16119980317768534
1222,2017-03-09,1223.0,10.670650482177734,10.795645713806152,-1,1.17321459752286,0.01157830063546511,0.0,1.17321459752286,0.17321459752286006
1223,2017-03-10,1224.0,10.677228927612305,10.795645713806152,-1,1.1725078690211717,0.010968939638544159,0.0,1.1725078690211717,0.17250786902117166
1224,2017-03-13,1225.0,10.749594688415527,10.795645713806152,-1,1.1647335481402454,0.004265703656033473,0.0,1.1647335481402454,0.16473354814024543
1225,2017-03-14,1226.0,10.696965217590332,10.795645713806152,-1,1.1703875810619886,0.009140768308987898,0.0,1.1703875810619886,0.1703875810619886
1226,2017-03-15,1227.0,10.683807373046875,10.795645713806152,-1,1.171801140519483,0.010359578641623207,0.0,1.171801140519483,0.17180114051948303
1227,2017-03-16,1228.0,10.71670150756836,10.795645713806152,-1,1.1682672931028055,0.007312596979431637,0.0,1.1682672931028055,0.16826729310280553
1228,2017-03-17,1229.0,10.657493591308594,10.795645713806152,-1,1.174628054526237,0.012797022629307013,0.0,1.174628054526237,0.1746280545262371
1229,2017-03-20,1230.0,10.618021011352539,10.795645713806152,-1,1.1788686304446032,0.016453365288419536,0.0,1.1788686304446032,0.17886863044460322
1230,2017-03-21,1231.0,10.525918960571289,10.795645713806152,-1,1.1887632392847125,0.024984772600486482,0.0,1.1887632392847125,0.1887632392847125
1231,2017-03-22,1232.0,10.381187438964844,10.795645713806152,-1,1.2043118810465645,0.038391244565507854,0.0,1.2043118810465645,0.2043118810465645
1232,2017-03-23,1233.0,10.446974754333496,10.795645713806152,-1,1.1972442886673267,0.03229736957991812,0.0,1.1972442886673267,0.19724428866732668
1233,2017-03-24,1234.0,10.499604225158691,10.795645713806152,-1,1.1915902557455837,0.027422304926963695,0.0,1.1915902557455837,0.19159025574558375
1234,2017-03-27,1235.0,10.552234649658203,10.795645713806152,-1,1.1859361203697234,0.02254715193521586,0.0,1.1859361203697234,0.1859361203697234
1235,2017-03-28,1236.0,10.532498359680176,10.795645713806152,-1,1.1880564083289062,0.024375323264772125,0.0,1.1880564083289062,0.18805640832890624
1236,2017-03-29,1237.0,10.44039535522461,10.795645713806152,-1,1.197951119623133,0.03290681891563248,0.0,1.197951119623133,0.19795111962313294
1237,2017-03-30,1238.0,10.400923728942871,10.795645713806152,-1,1.2021915930873814,0.03656307323595159,0.0,1.2021915930873814,0.20219159308738144
1238,2017-03-31,1239.0,10.532498359680176,10.795645713806152,-1,1.1880564083289062,0.024375323264772125,0.0,1.1880564083289062,0.18805640832890624
1239,2017-04-05,1240.0,10.63117790222168,10.795645713806152,-1,1.177455173441226,0.015234643294577632,0.0,1.177455173441226,0.17745517344122597
1240,2017-04-06,1241.0,10.591706275939941,10.795645713806152,-1,1.1816956469054747,0.01889089761489675,0.0,1.1816956469054747,0.18169564690547468
